floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,h_min_in,h_over_h_min,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,pattern_loading,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,failures,fdn_n_sized,fdn_n_groups,fdn_max_B_ft,fdn_max_L_ft,fdn_max_D_in,fdn_max_util,fdn_conc_vol_ft3,fdn_steel_vol_in3,fdn_ok,converged,failure_reason,failing_check
flat_plate,20.0,20.0,12.007874015748031,50.0,FEA,8.00524934383202,6.69,1.196,99.11735910372566,8.00524934383202,189.2187647475094,222.94083092447076,0.9162249146582409,true,173.8414547588061,false,0,0,0,0.10217354085677732,true,0.0681603892417259,0.6671041119860017,17.0,25.5,0.061111111111111116,10.399999999999999,3.5999999999999996,14.0,false,0,false,2.746,0.0,0.0,0.0,,16,3,4.75,4.75,12.0,0.965,199.8,2844.0,true,true,,
flat_plate,20.0,20.0,12.007874015748031,150.0,MDDM,9.5,6.45,1.472,117.62468238555248,9.5,319.70662416946595,405.1496188626629,0.9906944963099465,true,187.97106442396253,false,0,0,0,0.11019031313945594,true,0.07350841099635622,0.6671041119860017,22.5,35.5,0.06171875,15.2,4.3999999999999995,19.6,false,0,false,0.062,0.0,0.0,0.0,,16,3,6.25,6.25,12.0,0.947,360.5,4626.2,true,true,,
flat_plate,20.0,20.0,12.007874015748031,150.0,DDM (Full),9.5,6.45,1.472,117.62468238555248,9.5,319.70662416946595,405.1496188626629,0.9906944963099465,true,187.97106442396253,false,0,0,0,0.11019031313945594,true,0.07350841099635622,0.6671041119860017,22.5,35.5,0.078125,15.799999999999999,4.3999999999999995,20.2,false,0,false,0.049,0.0,0.0,0.0,,16,3,6.25,6.25,12.0,0.947,360.5,4626.2,true,true,,
flat_plate,20.0,20.0,12.007874015748031,150.0,EFM (HC),9.0,6.48,1.389,111.43390962841812,9.0,316.1495174402987,397.72069155410173,0.8790983281697946,true,166.79718025576273,false,0,0,0,0.12959454009319762,true,0.0864530505871069,0.6671041119860017,18.0,34.0,0.06172839506172839,20.599999999999998,4.199999999999999,24.799999999999997,false,0,true,0.103,0.0,0.0,0.0,,16,3,6.25,6.25,12.0,0.929,360.5,4626.2,true,true,,
flat_plate,20.0,20.0,12.007874015748031,150.0,EFM (ASAP),9.0,6.48,1.389,111.43390962841812,9.0,316.3342910768006,397.72069155410173,0.8790983281697946,true,166.79718025576273,false,0,0,0,0.12959454009319757,true,0.08645305058710687,0.6671041119860017,18.0,32.5,0.06172839506172839,22.0,5.8,27.799999999999997,true,0,true,0.08,0.0,0.0,0.0,,16,3,6.25,6.25,12.0,0.929,360.5,4626.2,true,true,,
flat_plate,20.0,20.0,12.007874015748031,150.0,FEA,10.0,6.5,1.537,123.8154551426868,10.0,330.7448633904469,412.57854617122416,0.9890734051749278,true,187.6634840070805,false,0,0,0,0.18705149305539495,true,0.12478282017037502,0.6671041119860017,17.0,34.0,0.078125,14.200000000000001,4.799999999999999,19.0,false,0,true,6.809,0.0,0.0,0.0,,16,3,6.25,6.25,12.0,0.964,360.5,4626.2,true,true,,
flat_plate,20.0,20.0,12.007874015748031,250.0,MDDM,13.0,6.41,2.027,160.96009168549287,13.0,481.16160740530603,617.1521100225913,0.98954983320465,true,187.75387986998462,false,0,0,0,0.07166926090725316,true,0.047810858654226185,0.6671041119860017,22.5,35.5,0.078125,17.599999999999998,5.999999999999999,23.599999999999998,false,0,false,0.191,0.0,0.0,0.0,,16,3,7.75,7.75,15.0,0.938,606.3,7129.0,true,true,,
flat_plate,20.0,20.0,12.007874015748031,250.0,DDM (Full),12.5,6.38,1.958,154.7693189283585,12.5,470.75277350181153,609.7231827140303,0.9952137112529864,true,188.82852517131496,false,0,0,0,0.08061817150117638,true,0.05378071370922746,0.6671041119860017,23.5,36.0,0.078125,18.6,5.6000000000000005,24.200000000000003,false,0,false,0.171,0.0,0.0,0.0,,16,3,7.5,7.5,15.0,0.991,579.5,6427.4,true,true,,
flat_plate,20.0,20.0,12.007874015748031,250.0,EFM (HC),10.0,6.34,1.578,123.8154551426868,10.0,435.67557415340724,572.5785461712242,0.9869248818231482,true,187.25583036321956,false,0,0,0,0.1574573662132351,true,0.10504045646333489,0.6671041119860017,18.0,35.0,0.07839506172839505,27.0,5.4,32.4,false,0,true,0.101,0.0,0.0,0.0,,16,3,7.25,7.25,14.0,0.995,522.0,6181.0,true,true,,
flat_plate,20.0,20.0,12.007874015748031,250.0,EFM (ASAP),10.0,6.33,1.58,123.8154551426868,10.0,434.63531661801665,572.5785461712242,0.9389413789579805,true,178.15160081319084,false,0,0,0,0.15745736621323517,true,0.10504045646333492,0.6671041119860017,18.0,36.0,0.07839506172839505,28.8,7.799999999999999,36.6,true,0,true,0.085,0.0,0.0,0.0,,16,3,7.25,7.25,14.0,0.995,522.0,6181.0,true,true,,
