floor_type,lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,sw_psf,vol_per_area_in,M0_kipft,qu_psf,punch_ratio,punch_ok,vu_max_psi,has_studs,n_stud_cols,stud_rails_max,stud_per_rail_max,defl_ratio,defl_ok,defl_in,defl_limit_in,col_min_in,col_max_in,col_rho_max,As_cs_in2,As_ms_in2,As_total_in2,integrity_ok,n_transfer_bars,runtime_s,h_drop_in,a_drop1_ft,a_drop2_ft,min_h_rule,LD_ratio,ddm_eligible
flat_plate,16.0,24.0,12.007874015748031,40.0,EFM (HC),5.0,61.9077275713434,5.0,95.3477827312321,162.28927308561208,0.991709089392415,true,163.54682909802312,false,0,0,0,0.1031912595215059,true,0.055071450838249006,0.5336832895888015,20.0,25.999999999999996,0.019506172839506175,13.799999999999999,39.5,53.3,true,0,0.362,0.0,0.0,0.0,nomin,0.31250000000000006,true
flat_plate,16.0,24.0,12.007874015748031,40.0,EFM (ASAP),5.0,61.9077275713434,5.0,95.3477827312321,162.28927308561208,0.9926571074061493,true,161.72772154080033,false,0,0,0,0.1031912595215059,true,0.055071450838249006,0.5336832895888015,20.0,25.999999999999996,0.019506172839506175,13.799999999999999,39.5,53.3,true,0,0.394,0.0,0.0,0.0,nomin,0.31250000000000006,true
flat_plate,16.0,24.0,12.007874015748031,40.0,FEA,5.0,61.9077275713434,5.0,91.69174191082945,162.28927308561208,0.9859499272067231,true,164.73036415422513,false,0,0,0,0.4836820685693389,true,0.258133037469201,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,8.4,39.5,47.9,true,12,19.562,0.0,0.0,0.0,nomin,0.31250000000000006,true
flat_plate,16.0,24.0,12.007874015748031,80.0,MDDM,5.0,61.9077275713434,5.0,117.9543848996387,226.28927308561205,0.9171954510602228,true,158.69394235481263,true,12,8,3,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,27.999999999999993,35.999999999999986,0.019506172839506175,28.75,39.5,68.25,true,0,0.779,0.0,0.0,0.0,nomin,0.6250000000000001,true
flat_plate,16.0,24.0,12.007874015748031,80.0,DDM (Full),5.0,61.9077275713434,5.0,117.9543848996387,226.28927308561205,0.9171954510602228,true,158.69394235481263,true,12,8,3,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,27.999999999999993,35.999999999999986,0.019506172839506175,12.2,39.5,51.7,true,0,0.686,0.0,0.0,0.0,nomin,0.6250000000000001,true
flat_plate,16.0,24.0,12.007874015748031,80.0,EFM (HC),5.0,61.9077275713434,5.0,117.9543848996387,226.28927308561205,0.9868014752637162,true,158.69394235481263,true,12,8,3,0.20638251904301178,true,0.110142901676498,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,19.6,3.9999999999999996,23.6,true,0,0.826,0.0,0.0,0.0,nomin,0.6250000000000001,true
flat_plate,16.0,24.0,12.007874015748031,80.0,EFM (ASAP),5.0,61.9077275713434,5.0,117.9543848996387,226.28927308561205,0.9734422770197527,true,158.69394235481263,true,12,8,3,0.20638251904301172,true,0.11014290167649797,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,19.199999999999996,3.9999999999999996,23.2,true,0,0.797,0.0,0.0,0.0,nomin,0.6250000000000001,true
flat_plate,16.0,24.0,12.007874015748031,80.0,FEA,5.999999999999999,74.2892730856121,5.999999999999999,128.89894334819897,241.14712770273448,0.9994844537084302,true,152.05137134749202,false,0,0,0,0.5641776882555791,true,0.3010922045808428,0.5336832895888015,20.0,35.999999999999986,0.019506172839506175,9.200000000000001,21.75,30.95,true,12,22.573,0.0,0.0,0.0,nomin,0.6250000000000001,true
flat_plate,16.0,24.0,12.007874015748031,125.0,MDDM,5.0,61.9077275713434,5.0,152.54883713335175,298.2892730856121,0.9804020120327656,true,209.18667536749825,true,12,8,3,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,33.999999999999986,35.999999999999986,0.019506172839506175,14.999999999999998,39.5,54.5,false,0,1.72,0.0,0.0,0.0,nomin,0.9765625000000001,true
flat_plate,16.0,24.0,12.007874015748031,125.0,DDM (Full),5.0,61.9077275713434,5.0,152.54883713335175,298.2892730856121,0.9804020120327656,true,209.18667536749825,true,12,8,3,0.3224726860047058,true,0.17209828386952808,0.5336832895888015,33.999999999999986,35.999999999999986,0.019506172839506175,16.2,3.9999999999999996,20.2,true,0,0.821,0.0,0.0,0.0,nomin,0.9765625000000001,true
flat_plate,16.0,24.0,12.007874015748031,125.0,EFM (HC),5.0,61.9077275713434,5.0,154.99347568463494,298.2892730856121,0.9940101122815285,true,209.18667536749825,true,14,8,3,0.3224726860047059,true,0.17209828386952813,0.5336832895888015,22.0,35.999999999999986,0.019506172839506175,27.4,5.199999999999999,32.599999999999994,true,0,0.798,0.0,0.0,0.0,nomin,0.9765625000000001,true
